"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000086503",228.701112933146,-10.1272767504577,0.794021614541836,-12.7544094077355,2.9459898365597e-37,3.69220906216027e-33
"ENSMUSG00000069049",24.0612589619481,7.20928984798535,0.934215788941901,7.71694284481174,1.19153049431968e-14,7.46672584265429e-11
"ENSMUSG00000068457",10.7961504450306,6.64181712145662,0.959455710810625,6.92248432795827,4.43790906628679e-12,1.85401047759241e-08
"ENSMUSG00000069045",16.852806275581,6.13069581597018,0.916269204761217,6.69093295301555,2.21752253163475e-11,6.94805247224457e-08
"ENSMUSG00000056673",8.4818312282013,6.30928041252117,0.970969833819566,6.49791599364313,8.14402557665441e-11,2.04138145104419e-07
"ENSMUSG00000026193",304.647293529409,-0.677913847549449,0.136062876557943,-4.98235716235761,6.28143557264949e-07,0.00112464617188594
"ENSMUSG00000031673",103.024911827353,-0.714035032227831,0.142807525729243,-4.99998181875661,5.73357207034402e-07,0.00112464617188594
"ENSMUSG00000020473",96.2305702907524,-0.689407188815098,0.146541652056605,-4.70451355733863,2.54471957416028e-06,0.00398662130286885
"ENSMUSG00000036446",78.5110971319861,-0.822468185853227,0.178611631126246,-4.60478514566552,4.12891919285067e-06,0.00574974936044416
"ENSMUSG00000067684",1915.95347321573,-6.26408305106039,1.37313220979774,-4.56189360817854,5.06943346188295e-06,0.00635352095777791
"ENSMUSG00000079519",929.146637821423,-5.8974096488442,1.31094987043488,-4.49857754430218,6.84096440763015e-06,0.0077943460837117
"ENSMUSG00000004655",570.65894027256,-0.539139485146402,0.12235377989779,-4.40639827880086,1.05103631253449e-05,0.0101327985423037
"ENSMUSG00000026043",226.152099930842,-0.789697293706686,0.178557683444603,-4.42264526775005,9.74997508080173e-06,0.0101327985423037
"ENSMUSG00000025332",91.7135193921199,-0.590098063702789,0.137023524164984,-4.30654566286209,1.65823711042409e-05,0.0138551238032968
"ENSMUSG00000059149",218.081243107306,-0.585169954342265,0.135449253237035,-4.32021543388078,1.55876948653552e-05,0.0138551238032968
"ENSMUSG00000017737",30.6073469746346,-1.29117114650534,0.310623987000549,-4.15670135128056,3.22875614426617e-05,0.025291250472555
"ENSMUSG00000030123",106.616673002799,-0.52422121048329,0.126877021186061,-4.13172697138385,3.60047931018695e-05,0.0265440042321018
"ENSMUSG00000095007",12.6029656388384,2.50767940571691,0.62293397818861,4.02559419380017,5.68316250329149e-05,0.0395705975854179
"ENSMUSG00000031375",274.439895045118,-0.484371324431665,0.122813415291279,-3.94396103457324,8.01466862951946e-05,0.0436729747538119
"ENSMUSG00000032224",36.1447834889461,0.824584003739638,0.209039194573791,3.94463825514099,7.99205333810186e-05,0.0436729747538119
"ENSMUSG00000032332",135.110111316713,-0.540668459495426,0.13557924875796,-3.98784079752975,6.66773821546674e-05,0.0436729747538119
"ENSMUSG00000032548",39.2258876972905,-0.88603693897766,0.224250646529014,-3.95110093411937,7.77925046447599e-05,0.0436729747538119
"ENSMUSG00000096422",35.9165072830355,-1.3379973098032,0.336775342405678,-3.97296696440279,7.09828970041385e-05,0.0436729747538119
"ENSMUSG00000026042",120.011949463207,-0.677228943873903,0.173075906879022,-3.91290131645693,9.1193808442032e-05,0.0476221667168328
"ENSMUSG00000069516",44.0246658674019,-1.49368945107717,0.383107420109783,-3.89887893752916,9.66390734485107e-05,0.0484471003012074
"ENSMUSG00000053965",231.76822891233,-0.666597657910225,0.173681889062562,-3.83803781446728,0.000124021386570276,0.0597830783802024
"ENSMUSG00000058523",57.0223011146926,-5.65687664365479,1.49430702329619,-3.78561872189871,0.000153326610596127,0.0711719411333799
"ENSMUSG00000000957",95.59596768349,-0.545290522882628,0.146547540219074,-3.72091214951458,0.000198504489244565,0.0888520272750764
"ENSMUSG00000031740",118.454037086858,-0.604584233649482,0.163076974348245,-3.70735498414641,0.000209435273469476,0.0905121476687223
"ENSMUSG00000015653",10.2532005431597,-1.44792285698228,0.392364193402745,-3.69025227410608,0.000224031765990284,0.0935930041052075
"ENSMUSG00000028613",31.334283164463,0.903589303288357,0.247285990457009,3.654025452952,0.00025816065876866,0.0980462889802309
"ENSMUSG00000035150",86.4741985473025,-0.586951486989083,0.160321356860372,-3.66109355910873,0.000251141021854183,0.0980462889802309
"ENSMUSG00000047963",328.804980163791,0.609580130181925,0.166681170815019,3.65716251692538,0.00025502269964896,0.0980462889802309
"ENSMUSG00000056427",24.2402275813449,-0.89695017591958,0.247291021892632,-3.62710368154414,0.000286618224581266,0.105652535549324
"ENSMUSG00000031766",18.8675192324384,1.39949623253814,0.394374257793672,3.5486500573532,0.00038721130173789,0.138654835562314
"ENSMUSG00000026335",209.27703677177,-0.411311457051997,0.117658047173224,-3.4958208718732,0.000472605848497898,0.150026870681942
"ENSMUSG00000027204",76.5515387387052,-0.577299824249126,0.164499453337077,-3.50943308648069,0.000449063036125759,0.150026870681942
"ENSMUSG00000037217",85.2202715771838,0.584646714117505,0.167069905895125,3.49941367947202,0.000466282552300814,0.150026870681942
"ENSMUSG00000054459",68.4530206361274,0.617410307613108,0.176790244667465,3.49233244613939,0.000478821896375782,0.150026870681942
"ENSMUSG00000076586",29.974803216863,3.24865341993908,0.925399899374992,3.51054006179728,0.000447197416970177,0.150026870681942
"ENSMUSG00000022044",43.0598035859155,0.766261821987071,0.222273125536164,3.44738852319058,0.000566033945052115,0.173026913008248
"ENSMUSG00000022443",515.312978684655,-0.348368589761447,0.101446460416702,-3.4340142409157,0.000594712950346439,0.176671364543125
"ENSMUSG00000060224",21.4854733506949,-0.958738182964682,0.279609428184294,-3.42884783675023,0.000606149259981997,0.176671364543125
"ENSMUSG00000032667",129.078256433255,0.547653497575286,0.162469165300561,3.37081498856815,0.000749461720278751,0.213477357733036
"ENSMUSG00000029661",393.807483653191,-0.998546092906152,0.298424084004175,-3.34606402910894,0.000819674656442157,0.223325705851947
"ENSMUSG00000050578",28.0774562465768,-1.13052672837411,0.337496604876931,-3.34974252196213,0.000808867110070319,0.223325705851947
"ENSMUSG00000019433",143.151466985654,0.428454370943712,0.128577835879052,3.33225682338238,0.000861447187944852,0.229713140564103
"ENSMUSG00000040752",64.498378572053,0.83593174786776,0.251765401720262,3.32028047601461,0.000899270519864962,0.23001137602995
"ENSMUSG00000076665",6.30309958144038,2.79383097834002,0.841404155929524,3.32043876732888,0.000898760725710888,0.23001137602995
"ENSMUSG00000091006",25.6714758793578,1.07499411450527,0.32494786034562,3.30820493282179,0.000938960724337566,0.235359895162454
"ENSMUSG00000026205",21.9858313444058,-2.35229571164479,0.712297593801577,-3.30240580919338,0.000958592762727687,0.235569472456198
"ENSMUSG00000031722",68.585968690219,-1.36822004218471,0.417256662025954,-3.27908495347068,0.00104144279369722,0.246311536368904
"ENSMUSG00000037369",30.9215640090388,-0.709695019127884,0.216433821224843,-3.27903936229364,0.00104161106100311,0.246311536368904
"ENSMUSG00000022816",76.2546171946506,-0.513517430915194,0.157063893551967,-3.2694810965277,0.00107744936302118,0.250068016050822
"ENSMUSG00000021823",68.976711522138,-0.671819254005308,0.207959704914149,-3.23052609774886,0.0012356262340605,0.281565519845096
"ENSMUSG00000023885",67.5428293270768,-0.609857795844252,0.189620898176687,-3.21619505923863,0.00129902505599609,0.290726446907124
"ENSMUSG00000026249",268.591175012498,0.508921581130479,0.158816953919106,3.2044537347675,0.00135319036450685,0.297535698918673
"ENSMUSG00000025492",135.032260058642,-0.58721912480314,0.184210061302652,-3.18776901028415,0.00143375022016985,0.309813646713599
"ENSMUSG00000000402",13.3744526606634,-1.10676515274263,0.352730290851464,-3.13770940984678,0.00170273594628892,0.330023847905348
"ENSMUSG00000000787",199.994746591326,-0.420630630647552,0.13348346453335,-3.15118154985001,0.00162611378873706,0.330023847905348
"ENSMUSG00000015568",19.740625015128,-0.851091843965072,0.271108331449518,-3.13930538178075,0.00169348862940847,0.330023847905348
"ENSMUSG00000017466",286.902474181692,-0.375174926503316,0.119627761539491,-3.13618613000182,0.00171160537092856,0.330023847905348
"ENSMUSG00000021127",107.330514305312,-0.488269404952113,0.154719568030591,-3.15583485119072,0.00160039448201053,0.330023847905348
"ENSMUSG00000022131",36.9371601718392,0.696788787203975,0.221366729207454,3.14766717518322,0.00164578966270984,0.330023847905348
"ENSMUSG00000091996",73.4633204819599,0.563167523977833,0.179448677127816,3.13832084466528,0.00169918772060086,0.330023847905348
"ENSMUSG00000026748",27.285121939566,-0.786885600842005,0.25165260249324,-3.12687249424787,0.00176676533356377,0.335498029175071
"ENSMUSG00000021647",104.973928183158,0.777849744646244,0.252790563542862,3.07705214049399,0.00209058729143635,0.343438993108026
"ENSMUSG00000022523",87.3728255196611,0.564360688851822,0.182423023688548,3.09369221845242,0.00197682448999722,0.343438993108026
"ENSMUSG00000024085",43.2907827642891,-0.597422707418999,0.193579534969208,-3.08618732612426,0.00202741050760248,0.343438993108026
"ENSMUSG00000026822",153.0079460035,-1.15337280158247,0.371664530076541,-3.10326304569592,0.00191399436998424,0.343438993108026
"ENSMUSG00000027134",128.733433380183,0.524501144901478,0.170256986538771,3.08064388759775,0.00206553526600167,0.343438993108026
"ENSMUSG00000027533",28.0309037413804,0.811085494851699,0.264811887832051,3.06287418397963,0.00219222208957489,0.343438993108026
"ENSMUSG00000027581",58.6048795870807,0.607268222831195,0.196998362609035,3.08260543279939,0.00205197027142744,0.343438993108026
"ENSMUSG00000036278",57.5360645315882,0.671874969957305,0.217008860069484,3.09607160621082,0.00196102998436914,0.343438993108026
"ENSMUSG00000039347",40.6473441111054,0.622839006558379,0.201662279796233,3.08852506868275,0.0020115272198863,0.343438993108026
"ENSMUSG00000045409",63.9228061683067,0.524960705124487,0.171037389020372,3.0692745494493,0.00214579294640866,0.343438993108026
"ENSMUSG00000049100",38.5134490767908,0.986477506184299,0.320657332841644,3.07642272653553,0.0020950059728616,0.343438993108026
"ENSMUSG00000056174",61.9987943374256,-0.610459785747391,0.199130048442521,-3.06563369276536,0.0021720924531818,0.343438993108026
"ENSMUSG00000069805",7.43174021703842,-1.88416307816734,0.614814281416996,-3.06460525579335,0.00217957464480833,0.343438993108026
"ENSMUSG00000091572",42.6939669435271,0.852497024961717,0.27608925212974,3.0877588257623,0.00201672066752256,0.343438993108026
"ENSMUSG00000031486",77.0282646714761,-0.516267072332127,0.168955649951842,-3.05563662700406,0.00224583254257568,0.347494064890135
"ENSMUSG00000029055",176.97522347196,0.403474297273534,0.132234966814969,3.05119218457626,0.0022793462801993,0.348378621094364
"ENSMUSG00000002588",98.9961715448941,1.9101515683858,0.627417913975794,3.04446450417973,0.00233094935029253,0.351973351894172
