"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000086503",242.412776276938,-11.0570300957117,0.844570146284888,-13.0919026019918,3.66315521925016e-39,7.33107254028534e-35
"ENSMUSG00000069049",30.4510260312995,7.66279888104364,0.939061836965367,8.16005781451669,3.3486426907219e-16,3.35081930847087e-12
"ENSMUSG00000056673",11.3772640046281,6.83412206692229,0.953342547707099,7.16859022327195,7.57739891706347e-13,3.79116211317978e-09
"ENSMUSG00000069045",17.3522704746111,6.85999053141321,0.95335339771876,7.19564282020518,6.21671748271235e-13,3.79116211317978e-09
"ENSMUSG00000068457",10.3433232650955,6.69566381497414,0.954145743535823,7.01744346745362,2.25964538114085e-12,9.04445660255438e-09
"ENSMUSG00000035150",101.325663145612,-0.742553286225892,0.131990944675668,-5.62578961799624,1.8466129623548e-08,6.15937753593443e-05
"ENSMUSG00000076586",16.9003399176275,3.59580461130875,0.652092054100479,5.51425920419923,3.50252080764659e-08,0.000100137069890616
"ENSMUSG00000031328",485.055627217631,-0.462226169393831,0.101907767817227,-4.53573048742309,5.74044480697923e-06,0.0143604402402594
"ENSMUSG00000134885",11.3652284694664,2.80348303344613,0.627155170358201,4.47015852846261,7.81616415084313e-06,0.0173805436834248
"ENSMUSG00000002588",585.283471653773,0.936971128283663,0.245452492050108,3.81732171654784,0.000134908206684651,0.269991794037992
"ENSMUSG00000006204",557.722849022795,-0.603317321340937,0.159733816370017,-3.77701688378482,0.000158717976008179,0.288765713986517
"ENSMUSG00000126822",2.88639505693072,-4.59951256581735,1.25223412391182,-3.67304522212591,0.000239677047148273,0.399721395381532
"ENSMUSG00000022131",41.1969577829764,0.772409501612498,0.214102059776325,3.60766964325071,0.000308959526038673,0.475631307277844
"ENSMUSG00000000001",62.834141036029,0.179506996519636,0.18620476716819,0.964030079624631,0.335030845498066,0.999967191250388
"ENSMUSG00000000028",8.24417803141565,0.659369345796978,0.436941617854336,1.50905594444151,0.131284486708726,0.999967191250388
"ENSMUSG00000000031",5.07201461288929,0.0966394147709162,0.551262894739841,0.175305495242018,0.86083959405776,0.999967191250388
"ENSMUSG00000000037",1.56607872474582,0.0520082496207781,0.935744065764182,0.0555795665968826,0.955676742832107,0.999967191250388
"ENSMUSG00000000056",21.7778179748819,0.0909004823902479,0.311800607143392,0.291534013429436,0.770642934085298,0.999967191250388
"ENSMUSG00000000058",17.6949233589038,0.119957621157779,0.338061580108629,0.354839556506933,0.722709792363987,0.999967191250388
"ENSMUSG00000000078",22.0841136989035,0.101947648688904,0.251742100704744,0.40496861034966,0.685500584352185,0.999967191250388
"ENSMUSG00000000085",26.7360483263913,-0.254514468818486,0.229647665049063,-1.10828241499477,0.26773986752672,0.999967191250388
"ENSMUSG00000000088",24.8365396151115,0.208888930705506,0.255191769305646,0.818556692772162,0.413039384041586,0.999967191250388
"ENSMUSG00000000093",4.01688344581247,0.419449120099873,0.587419915831163,0.714053284193434,0.475194231428509,0.999967191250388
"ENSMUSG00000000094",0.453253192177141,-0.92977112450745,1.82130865559293,-0.510496187261989,0.609703885052992,0.999967191250388
"ENSMUSG00000000120",7.09616489987219,0.447460883250725,0.444414483747568,1.00685486097903,0.314004526410024,0.999967191250388
"ENSMUSG00000000126",3.05829152560151,-0.215212153521122,0.662287579821208,-0.324952724584117,0.745216851878157,0.999967191250388
"ENSMUSG00000000127",15.9488613763324,-0.128613560125994,0.312071336033911,-0.41212871954385,0.68024507937987,0.999967191250388
"ENSMUSG00000000131",90.965083999344,-0.0563359611427758,0.141675199079099,-0.397641658589253,0.690894348164337,0.999967191250388
"ENSMUSG00000000134",34.335834324912,-0.3213627111053,0.217040701010868,-1.48065643728827,0.138698147931435,0.999967191250388
"ENSMUSG00000000142",17.7454596644258,-0.175955726332417,0.333096661930007,-0.528242238492891,0.597331216377998,0.999967191250388
"ENSMUSG00000000148",13.2419644294711,-0.236117219922465,0.32763824418946,-0.720664403835371,0.471116018301415,0.999967191250388
"ENSMUSG00000000149",87.6894288276521,0.0502501943467447,0.147275230516481,0.34119922386488,0.732953607532553,0.999967191250388
"ENSMUSG00000000154",66.5771996063801,0.108766492382682,0.192121041390833,0.566135242632886,0.571301847262601,0.999967191250388
"ENSMUSG00000000157",12.847915777138,-1.54730973491142,0.949018299897833,-1.63043192642122,0.103010241607502,0.999967191250388
"ENSMUSG00000000159",1.98710225662701,0.0859708656413431,0.947534765576343,0.0907310937441444,0.927706263286013,0.999967191250388
"ENSMUSG00000000167",11.4116634279703,-0.383321359704408,0.359215674871493,-1.0671064391651,0.285923774464215,0.999967191250388
"ENSMUSG00000000168",56.4872226078047,-0.143712839050442,0.172138766592046,-0.834866206466025,0.403793043758204,0.999967191250388
"ENSMUSG00000000171",97.807879626477,0.0111114763382308,0.17689667767937,0.0628133692729415,0.949915119752749,0.999967191250388
"ENSMUSG00000000184",31.4670844476333,-0.107380520462915,0.216643639814637,-0.495655079257309,0.620137785303976,0.999967191250388
"ENSMUSG00000000194",46.4483473267863,-0.0712497292100291,0.191040241520451,-0.372956653755077,0.709180705387045,0.999967191250388
"ENSMUSG00000000197",3.43378897880524,-0.226897303469633,0.64360845864178,-0.35253934348293,0.724433818062974,0.999967191250388
"ENSMUSG00000000202",4.20401084835337,-0.19222770537045,0.71693336591459,-0.268124925564353,0.788603160223024,0.999967191250388
"ENSMUSG00000000204",4.95791676239818,-0.882414009723264,0.701833478902208,-1.25729825699326,0.208645654916698,0.999967191250388
"ENSMUSG00000000214",2.11772668292504,0.177552140925383,1.4625449939309,0.121399438418762,0.903374661668175,0.999967191250388
"ENSMUSG00000000216",11.8660570438453,-0.408524863435297,0.359961559137182,-1.13491247347222,0.256411993099245,0.999967191250388
"ENSMUSG00000000223",3.18612715769471,-0.777041771579805,0.732765322376923,-1.06042377805115,0.288951849353854,0.999967191250388
"ENSMUSG00000000244",3.40774850321788,-0.693881982168736,0.65844857311511,-1.05381347989865,0.291968320708231,0.999967191250388
"ENSMUSG00000000247",62.2369466143183,0.00508790709715202,0.215859891995698,0.0235704143558704,0.981195271516231,0.999967191250388
"ENSMUSG00000000248",1.88758736340589,1.78442498236296,1.06741400320847,1.67172716209388,0.0945781354783912,0.999967191250388
"ENSMUSG00000000253",18.445969097215,0.0383236086719072,0.282103435165742,0.135849493110182,0.891940263859376,0.999967191250388
"ENSMUSG00000000266",10.0528570845121,-0.148854901127967,0.371509862090643,-0.400675503714216,0.688659048333351,0.999967191250388
"ENSMUSG00000000275",42.9050950469577,-0.204397649735624,0.246051965134598,-0.830709275676021,0.406137885065862,0.999967191250388
"ENSMUSG00000000276",17.3877316314656,-0.294582222977936,0.297508265794707,-0.990164835222461,0.322093557319793,0.999967191250388
"ENSMUSG00000000278",31.9968460029769,-0.078718745636264,0.229940767241716,-0.342343580829727,0.732092341955343,0.999967191250388
"ENSMUSG00000000282",28.9154147127366,0.0455774119184091,0.248702637249512,0.183260669940879,0.854593492578361,0.999967191250388
"ENSMUSG00000000290",34.8924870339897,-0.404919352152564,0.473966815306095,-0.854320047472228,0.392927682275898,0.999967191250388
"ENSMUSG00000000295",8.28123222399914,-0.44021038027267,0.444899837753427,-0.989459520811613,0.322438365495271,0.999967191250388
"ENSMUSG00000000296",12.3106674692475,0.759678722784303,0.348073894198323,2.18252139975616,0.0290710736479726,0.999967191250388
"ENSMUSG00000000301",2.46999226348318,0.134040963334309,0.748041913089539,0.179189108242207,0.857789215678671,0.999967191250388
"ENSMUSG00000000303",146.872658045445,-0.169940362344596,0.148137345120681,-1.14718109877123,0.251306781643353,0.999967191250388
"ENSMUSG00000000305",10.3159286389657,0.063223524032496,0.360000244047857,0.175620781035058,0.860591875192851,0.999967191250388
"ENSMUSG00000000308",158.75760889312,-0.0860790176553339,0.167798509392181,-0.512990359492103,0.607958064336426,0.999967191250388
"ENSMUSG00000000317",3.24602647145605,-0.334479783373014,0.69887823278227,-0.47859522257752,0.632226617689178,0.999967191250388
"ENSMUSG00000000318",5.7026696489047,-0.0894138981035631,0.477394705538666,-0.187295537772404,0.851428921424218,0.999967191250388
"ENSMUSG00000000320",24.3572991453545,-0.0210045432377344,0.297972558498608,-0.0704915356755327,0.943802437344933,0.999967191250388
"ENSMUSG00000000326",49.8680239933226,0.0924910435434793,0.182985755550937,0.505454882348659,0.613239379811834,0.999967191250388
"ENSMUSG00000000339",50.0891544729435,-0.00636668091712885,0.188106953635173,-0.0338460689203271,0.97299989928594,0.999967191250388
"ENSMUSG00000000340",16.7760105858319,0.0409478107908714,0.308614969542136,0.132682516507939,0.894444470405986,0.999967191250388
"ENSMUSG00000000346",93.6486133489342,-0.0256500270109046,0.143546707953755,-0.178687671605593,0.858182950017603,0.999967191250388
"ENSMUSG00000000355",17.118950768814,0.0960327759128197,0.294064380867366,0.326570581685424,0.743992696989416,0.999967191250388
"ENSMUSG00000000359",3.53300123949683,1.3879209385127,0.731144415393037,1.89828563180176,0.0576584656645372,0.999967191250388
"ENSMUSG00000000374",93.030418408177,-0.0354688446335365,0.180074529000014,-0.196967582425463,0.843852906277081,0.999967191250388
"ENSMUSG00000000378",18.9875814737384,-0.248708877311626,0.297673169394303,-0.835509890991159,0.403430680261689,0.999967191250388
"ENSMUSG00000000384",36.8980230929447,0.101103636984928,0.212418593888342,0.475964157064676,0.634099913556845,0.999967191250388
"ENSMUSG00000000385",135.005548874586,0.235261644163586,0.12319658895906,1.90964413991825,0.0561790477752701,0.999967191250388
"ENSMUSG00000000386",16.2966659335997,-0.317784404799094,0.868127862165294,-0.366057142788245,0.714322436398793,0.999967191250388
"ENSMUSG00000000392",45.7749058769035,-0.464470650995841,0.20687295661884,-2.24519752889509,0.0247554546770512,0.999967191250388
"ENSMUSG00000000399",62.2328724761126,-0.145605713791452,0.206158009747162,-0.706282108417846,0.480012717554986,0.999967191250388
"ENSMUSG00000000409",6.80798704544308,0.93311230600626,0.629505920106968,1.48229313847867,0.138262313235815,0.999967191250388
"ENSMUSG00000000416",23.5813636566816,0.199021316919808,0.249874686140801,0.796484509870129,0.42575047540041,0.999967191250388
"ENSMUSG00000000420",65.0411424462621,0.108243555565957,0.188089932642646,0.575488299906037,0.564961101296274,0.999967191250388
"ENSMUSG00000000439",17.4049976754542,-0.188454843981814,0.296628760346737,-0.635322224862903,0.525218281410744,0.999967191250388
"ENSMUSG00000000440",6.30969641664259,-0.335046865964263,0.471678725356699,-0.710328551941556,0.477500418128246,0.999967191250388
"ENSMUSG00000000441",53.8396382359107,-0.242160837059777,0.185581582114242,-1.30487537772313,0.191935286664419,0.999967191250388
"ENSMUSG00000000486",17.5767048270573,-0.0404393085065312,0.42284311780066,-0.0956366718627674,0.923809138742922,0.999967191250388
"ENSMUSG00000000489",7.96493709307227,0.0308158550454426,0.406535179598842,0.0758012014503908,0.93957726025791,0.999967191250388
"ENSMUSG00000000530",16.5201121022149,-0.541818243103812,0.304230862236183,-1.78094437599556,0.0749215381728282,0.999967191250388
"ENSMUSG00000000531",5.02009035873795,-0.572128518061927,0.507443720995681,-1.12747186414944,0.259543029833283,0.999967191250388
