go_id	name	definition	category
GO:0001731	formation of translation preinitiation complex	The joining of the small ribosomal subunit, ternary complex, and mRNA.	N/A
GO:0016479	negative regulation of transcription by RNA polymerase I	Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase I.	N/A
GO:0010572	positive regulation of platelet activation	Any process that increases the rate or frequency of platelet activation. Platelet activation is a series of progressive, overlapping events triggered by exposure of the platelets to subendothelial tissue.	N/A
GO:0048680	positive regulation of axon regeneration	Any process that activates, maintains or increases the rate of axon regeneration.	N/A
GO:2001046	positive regulation of integrin-mediated signaling pathway	Any process that activates or increases the frequency, rate or extent of integrin-mediated signaling pathway.	N/A
GO:0021932	hindbrain radial glia guided cell migration	The radially directed movement of a cell along radial glial cells in the hindbrain. Radial migration refers to a directed movement from the internal ventricular area to the outer surface of the hindbrain.	N/A
GO:0051764	actin crosslink formation	The process in which two or more actin filaments are connected together by proteins that act as crosslinks between the filaments. The crosslinked filaments may be on the same or differing axes.	N/A
GO:0070572	positive regulation of neuron projection regeneration	Any process that activates or increases the frequency, rate or extent of neuron projection regeneration, the regrowth of neuronal processes such as axons or dendrites following their loss or damage.	N/A
GO:0072378	blood coagulation, fibrin clot formation	A protein activation cascade that contributes to blood coagulation and consists of the cascade of enzymatic reactions initiated by physical damage to the wall of a blood vessel, leading to the formation of a formation of a fibrin clot at the site of the injury. The process also includes numerous positive and negative regulatory events.	N/A
GO:0086014	atrial cardiac muscle cell action potential	An action potential that occurs in an atrial cardiac muscle cell.	N/A
GO:0086026	atrial cardiac muscle cell to AV node cell signaling	Any process that mediates the transfer of information from an atrial cardiomyocyte to an AV node cell.	N/A
GO:0086066	atrial cardiac muscle cell to AV node cell communication	The process that mediates interactions between an atrial cardiomyocyte and its surroundings that contributes to the process of the atrial cardiomyocyte communicating with an AV node cell in cardiac conduction. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.	N/A
GO:0086013	membrane repolarization during cardiac muscle cell action potential	The process in which ions are transported across a membrane such that the cardiac muscle cell plasma membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential.	N/A
GO:0051220	obsolete cytoplasmic sequestering of protein	OBSOLETE. The selective interaction of a protein with specific molecules in the cytoplasm, thereby inhibiting its transport into other areas of the cell.	N/A
GO:0060816	random inactivation of X chromosome	Compensating for the two-fold variation in X-chromosome:autosome ratios between sexes by a global inactivation of all, or most of, the genes on either the paternal or maternal X-chromosome in the XX sex.	N/A
GO:0060712	spongiotrophoblast layer development	The process in which the spongiotrophoblast layer of the placenta progresses from its formation to its mature state.	N/A
GO:0072376	protein activation cascade	A sequential series of modifications to a set of proteins where the product of one reaction catalyzes the following reaction, ultimately leading to the generation of a mature protein. Modifications typically include proteolysis or covalent modification, and may also include binding events.	N/A
GO:0086011	membrane repolarization during action potential	The process in which ions are transported across a membrane such that the membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential.	N/A
GO:2001044	regulation of integrin-mediated signaling pathway	Any process that modulates the frequency, rate or extent of integrin-mediated signaling pathway.	N/A
GO:0021535	cell migration in hindbrain	The orderly movement of a cell that will reside in the hindbrain.	N/A
GO:0090042	tubulin deacetylation	The removal of an acetyl group from tubulin. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid.	N/A
GO:2001224	positive regulation of neuron migration	Any process that activates or increases the frequency, rate or extent of neuron migration.	N/A
GO:0035855	megakaryocyte development	The process whose specific outcome is the progression of a megakaryocyte cell over time, from its formation to the mature structure. Megakaryocyte development does not include the steps involved in committing a cell to a megakaryocyte fate. A megakaryocyte is a giant cell 50 to 100 micron in diameter, with a greatly lobulated nucleus, found in the bone marrow.	N/A
GO:0086019	cell-cell signaling involved in cardiac conduction	Any process that mediates the transfer of information from one cell to another and contributes to the heart process that regulates cardiac muscle contraction; beginning with the generation of an action potential in the sinoatrial node and ending with regulation of contraction of the myocardium.	N/A
GO:0060009	Sertoli cell development	The process whose specific outcome is the progression of a Sertoli cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a Sertoli cell fate.	N/A
GO:0099623	regulation of cardiac muscle cell membrane repolarization	Any process that modulates the establishment or extent of a change in membrane potential in the polarizing direction towards the resting potential in a cardiomyocyte.	N/A
GO:0150105	protein localization to cell-cell junction	A process in which a protein is transported to, or maintained, in a location within a cell-cell junction.	N/A
GO:0009048	dosage compensation by inactivation of X chromosome	Compensating for the two-fold variation in X-chromosome:autosome ratios between sexes by heterochromatin formation leading to a global inactivation of all, or most of, the genes on one of the X-chromosomes in the XX sex.	N/A
GO:0007549	sex-chromosome dosage compensation	Compensating for the variation in the unpaired sex chromosome:autosome chromosome ratios between sexes by activation or inactivation of genes on one or both of the sex chromosomes.	N/A
GO:0071514	genomic imprinting	The establishment of epigenetic modifications (imprints) during gametogenesis, and propagation of these imprints during the organism's life. Genomic imprinting leads to an asymmetry between the maternal and paternal alleles and differential expression of the corresponding alleles. This can happen through heterochromatin formation or differential chromatin loop formation.	N/A
GO:0060706	cell differentiation involved in embryonic placenta development	The process in which a relatively unspecialized cell acquires specialized features of the embryonic placenta.	N/A
GO:0099622	cardiac muscle cell membrane repolarization	The process in which ions are transported across the plasma membrane of a cardiac muscle cell such that the membrane potential changes in the repolarizing direction, toward the steady state potential. For example, the repolarization during an action potential is from a positive membrane potential towards a negative resting potential.	N/A
GO:0007212	G protein-coupled dopamine receptor signaling pathway	A G protein-coupled receptor signaling pathway initiated by a dopamine binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process.	N/A
GO:0048679	regulation of axon regeneration	Any process that modulates the frequency, rate or extent of axon regeneration.	N/A
GO:0060306	regulation of membrane repolarization	Any process that modulates the establishment or extent of a membrane potential in the polarizing direction towards the resting potential, usually from positive to negative.	N/A
GO:0060008	Sertoli cell differentiation	The process in which a relatively unspecialized cell acquires specialized structural and/or functional features of a Sertoli cell. A Sertoli cell is a supporting cell projecting inward from the basement membrane of seminiferous tubules.	N/A
GO:1901381	positive regulation of potassium ion transmembrane transport	Any process that activates or increases the frequency, rate or extent of potassium ion transmembrane transport.	N/A
GO:0044319	wound healing, spreading of cells	The migration of a cell along or through a wound gap that contributes to the reestablishment of a continuous surface.	N/A
GO:0090505	epiboly involved in wound healing	The expansion of one cell sheet over other cells involved in wound healing.	N/A
GO:0086065	cell communication involved in cardiac conduction	Any process that mediates interactions between a cell and its surroundings that contributes to the process of cardiac conduction. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.	N/A
GO:0090504	epiboly	The expansion of one cell sheet over other cells or yolk.	N/A
GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	Any process that activates or increases the frequency, rate or extent of substrate adhesion-dependent cell spreading.	N/A
GO:0070570	regulation of neuron projection regeneration	Any process that modulates the rate, frequency or extent of neuron projection regeneration, the regrowth of neuronal processes such as axons or dendrites following their loss or damage.	N/A
